largest gaps (sup_general - sup_bsc), bits:
  gap=+3.536e-06  p=0.02 mu=0.20 nu=0.60  gen=0.060419 bsc=0.060415  z*=[0.     1.     0.9977 0.0023]  ab*=[0.     0.0025]
  gap=+3.060e-06  p=0.20 mu=0.05 nu=0.10  gen=0.128107 bsc=0.128104  z*=[0.000e+00 1.000e+00 2.000e-04 9.998e-01]  ab*=[0.     0.0002]
  gap=+2.220e-06  p=0.02 mu=0.30 nu=0.30  gen=0.258563 bsc=0.258561  z*=[0. 1. 0. 1.]  ab*=[0. 1.]
  gap=+1.907e-06  p=0.10 mu=0.10 nu=0.40  gen=0.039036 bsc=0.039034  z*=[0.     1.     0.0159 0.9841]  ab*=[0.     0.0162]
  gap=+6.108e-07  p=0.05 mu=0.20 nu=0.20  gen=0.313604 bsc=0.313603  z*=[1. 0. 1. 0.]  ab*=[0. 1.]
  gap=+2.233e-07  p=0.15 mu=0.10 nu=0.10  gen=0.190161 bsc=0.190161  z*=[0. 1. 1. 0.]  ab*=[0. 0.]
  gap=+9.763e-08  p=0.20 mu=0.05 nu=0.20  gen=0.033008 bsc=0.033007  z*=[0.     1.     0.9811 0.0189]  ab*=[0.     0.0188]
  gap=+8.017e-09  p=0.15 mu=0.05 nu=0.10  gen=0.240160 bsc=0.240160  z*=[1. 0. 0. 1.]  ab*=[0. 0.]
  gap=+4.190e-09  p=0.20 mu=0.05 nu=0.05  gen=0.178072 bsc=0.178072  z*=[1. 0. 1. 0.]  ab*=[0. 0.]
  gap=+1.110e-09  p=0.10 mu=0.10 nu=0.10  gen=0.331004 bsc=0.331004  z*=[1. 0. 0. 1.]  ab*=[0. 0.]
  gap=+9.829e-10  p=0.20 mu=0.10 nu=0.10  gen=0.078143 bsc=0.078143  z*=[9.998e-01 2.000e-04 9.998e-01 2.000e-04]  ab*=[0.0002 0.0002]
  gap=+7.439e-10  p=0.02 mu=0.10 nu=0.30  gen=0.458561 bsc=0.458561  z*=[1. 0. 1. 0.]  ab*=[0. 1.]
  gap=+7.439e-10  p=0.02 mu=0.05 nu=0.30  gen=0.508561 bsc=0.508561  z*=[1. 0. 1. 0.]  ab*=[0. 1.]
  gap=+6.869e-10  p=0.02 mu=0.20 nu=0.30  gen=0.358561 bsc=0.358561  z*=[1. 0. 1. 0.]  ab*=[0. 1.]
  gap=+2.716e-10  p=0.10 mu=0.05 nu=0.10  gen=0.381004 bsc=0.381004  z*=[0. 1. 1. 0.]  ab*=[0. 0.]
  gap=+1.472e-10  p=0.02 mu=0.20 nu=0.20  gen=0.458559 bsc=0.458559  z*=[0. 1. 1. 0.]  ab*=[0. 1.]
  gap=+5.501e-11  p=0.02 mu=0.20 nu=0.50  gen=0.158981 bsc=0.158981  z*=[0.000e+00 1.000e+00 6.000e-04 9.994e-01]  ab*=[0.     0.0006]
  gap=+4.633e-11  p=0.10 mu=0.10 nu=0.30  gen=0.132282 bsc=0.132282  z*=[0.     1.     0.9969 0.0031]  ab*=[0.     0.0031]
  gap=+1.883e-11  p=0.25 mu=0.05 nu=0.05  gen=0.088724 bsc=0.088724  z*=[0. 1. 1. 0.]  ab*=[0. 0.]
  gap=+2.737e-12  p=0.25 mu=0.05 nu=0.10  gen=0.039333 bsc=0.039333  z*=[1.     0.     0.9957 0.0043]  ab*=[0.     0.9957]
